id,race,playerid
570,asian,12
571,asian,19
572,asian,3
573,asian,21
574,asian,21
575,asian,28
576,asian,10
577,asian,7
578,asian,8
579,asian,6
580,asian,4
581,asian,9
582,asian,8
583,asian,14
584,asian,6
585,asian,4
586,asian,29
587,asian,5
588,asian,6
589,asian,3
590,asian,21
591,asian,8
592,asian,27
593,asian,7
594,asian,7
595,asian,20
596,asian,7
597,asian,5
598,asian,6
599,asian,5
600,asian,9
601,asian,19
602,asian,23
603,asian,3
604,asian,3
605,asian,20
606,asian,14
607,asian,23
608,asian,22
609,asian,25
610,asian,24
611,asian,16
612,asian,25
613,asian,12
614,asian,8
615,asian,15
616,asian,26
617,asian,15
618,asian,1
619,asian,16
620,asian,27
621,asian,14
622,asian,16
623,asian,23
624,asian,23
625,asian,30
626,asian,15
627,asian,6
628,asian,6
629,asian,22
630,asian,8
631,asian,17
632,asian,5
633,asian,5
634,asian,28
635,asian,13
636,asian,30
637,asian,1
638,asian,8
639,asian,26
640,asian,12
641,asian,6
642,asian,25
643,asian,18
644,asian,14
645,asian,7
646,asian,8
647,asian,18
648,asian,7
649,asian,24
650,asian,27
651,asian,25
652,asian,8
653,asian,14
654,asian,28
655,asian,12
656,asian,15
657,asian,5
658,asian,14
659,asian,1
660,asian,5
661,asian,27
662,asian,17
663,asian,26
664,asian,13
665,asian,15
666,asian,23
667,asian,1
668,asian,22
669,asian,13
670,asian,26
671,asian,12
672,asian,13
673,asian,23
674,asian,17
675,asian,25
676,asian,7
677,asian,23
678,asian,27
679,asian,13
680,asian,24
681,asian,30
682,asian,5
683,asian,30
684,asian,26
685,asian,15
686,asian,5
687,asian,12
688,asian,14
689,asian,7
690,asian,6
691,asian,28
692,asian,24
693,asian,12
694,asian,27
695,asian,28
696,asian,16
697,asian,7
698,asian,5
699,asian,17
700,asian,24
701,asian,7
702,asian,1
703,asian,26
704,asian,1
705,asian,22
706,asian,22
707,asian,17
708,asian,7
709,asian,18
710,asian,15
711,asian,12
712,asian,14
713,asian,22
714,asian,14
715,asian,18
716,asian,30
717,asian,13
718,asian,27
719,asian,28
720,asian,14
721,asian,30
722,asian,14
723,asian,26
724,asian,28
725,asian,1
726,asian,17
727,asian,12
728,asian,5
729,asian,14
730,asian,7
731,asian,25
732,asian,27
733,asian,8
734,asian,6
735,asian,17
736,asian,7
737,asian,6
738,asian,1
739,asian,15
740,asian,25
741,asian,28
742,asian,6
743,asian,8
744,asian,6
745,asian,14
746,asian,23
747,asian,16
748,asian,6
749,asian,30
750,asian,16
751,asian,28
752,asian,27
753,asian,6
754,asian,13
755,asian,17
756,asian,18
757,asian,28
758,asian,27
759,asian,6
760,asian,1
761,asian,13
762,asian,18
763,asian,17
764,asian,30
765,asian,28
766,asian,28
767,asian,8
768,asian,15
769,asian,15
770,asian,7
771,asian,5
772,asian,24
773,asian,26
774,asian,26
775,asian,18
776,asian,24
777,asian,16
778,asian,28
779,asian,25
780,asian,15
781,asian,27
782,asian,28
783,asian,12
784,asian,26
785,asian,18
786,asian,18
787,asian,7
788,asian,17
789,asian,18
790,asian,18
791,asian,24
792,asian,18
793,asian,16
794,asian,30
795,asian,28
796,asian,6
797,asian,23
798,asian,24
799,asian,24
800,asian,7
801,asian,24
802,asian,17
803,asian,6
804,asian,13
805,asian,12
806,asian,22
807,asian,22
808,asian,24
809,asian,28
810,asian,22
811,asian,25
812,asian,18
813,asian,30
814,asian,15
815,asian,16
816,asian,26
817,asian,23
818,asian,13
819,asian,18
820,asian,14
821,asian,15
822,asian,24
823,asian,16
824,asian,11
825,asian,9
826,asian,11
827,asian,10
828,asian,10
829,asian,21
830,asian,22
831,asian,29
832,asian,29
833,asian,2
834,asian,19
835,asian,29
836,asian,11
837,asian,21
838,asian,4
839,asian,21
840,asian,2
841,asian,22
842,asian,29
843,asian,2
844,asian,19
845,asian,2
846,asian,4
847,asian,11
848,asian,10
849,asian,22
850,asian,29
851,asian,18
852,asian,18
853,asian,4
854,asian,18
855,asian,9
856,asian,18
857,asian,18
858,asian,21
859,asian,10
860,asian,21
861,asian,22
862,asian,9
863,asian,19
864,asian,18
865,asian,19
866,asian,4
867,asian,9
868,asian,11
869,asian,4
870,asian,29
871,asian,9
872,asian,19
873,asian,19
874,asian,19
875,asian,4
876,asian,21
877,asian,9
878,asian,22
879,asian,4
880,asian,4
881,asian,9
882,asian,10
883,asian,10
884,asian,22
885,asian,10
886,asian,19
887,asian,19
888,asian,21
889,asian,18
890,asian,21
891,asian,29
892,asian,11
893,asian,11
894,asian,11
895,asian,11
896,asian,9
897,asian,2
898,asian,29
899,asian,29
900,asian,11
901,asian,4
902,asian,10
903,asian,11
904,asian,2
905,asian,2
906,asian,10
907,asian,2
908,asian,29
909,asian,4
910,asian,2
911,asian,18
912,asian,9
913,asian,2
914,asian,18
915,asian,2
916,asian,10
917,asian,4
918,asian,22
919,asian,11
920,asian,22
921,asian,29
922,asian,18
923,asian,19
924,asian,10
925,asian,10
926,asian,2
927,asian,19
928,asian,22
929,asian,22
930,asian,21
931,asian,22
932,asian,11
933,asian,22
934,asian,22
935,asian,11
936,asian,29
937,asian,2
938,asian,18
939,asian,10
940,asian,19
941,asian,21
942,asian,10
943,asian,9
944,asian,5
945,asian,1
946,asian,3
947,asian,15
948,asian,8
949,asian,10
950,asian,23
951,asian,24
952,asian,6
953,asian,28
954,asian,30
955,asian,23
956,asian,16
957,asian,20
958,asian,9
959,asian,14
960,asian,14
961,asian,19
962,asian,11
963,asian,24
964,asian,10
965,asian,5
966,asian,26
967,asian,13
968,asian,28
969,asian,19
970,asian,10
971,asian,16
972,asian,27
973,asian,8
974,asian,3
975,asian,7
976,asian,11
977,asian,6
978,asian,28
979,asian,15
980,asian,24
981,asian,19
982,asian,3
983,asian,28
984,asian,25
985,asian,20
986,asian,28
987,asian,13
988,asian,19
989,asian,27
990,asian,7
991,asian,6
992,asian,1
993,asian,5
994,asian,15
995,asian,26
996,asian,13
997,asian,6
998,asian,3
999,asian,6
1000,asian,5
1001,asian,20
1002,asian,30
1003,asian,10
1004,asian,11
1005,asian,8
1006,asian,25
1007,asian,27
1008,asian,8
1009,asian,26
1010,asian,23
1011,asian,28
1012,asian,15
1013,asian,20
1014,asian,11
1015,asian,9
1016,asian,8
1017,asian,1
1018,asian,16
1019,asian,23
1020,asian,14
1021,asian,26
1022,asian,11
1023,asian,16
1024,asian,16
1025,asian,27
1026,asian,30
1027,asian,14
1028,asian,10
1029,asian,7
1030,asian,30
1031,asian,25
1032,asian,23
1033,asian,7
1034,asian,24
1035,asian,7
1036,asian,15
1037,asian,19
1038,asian,7
1039,asian,20
1040,asian,5
1041,asian,15
1042,asian,26
1043,asian,27
1044,asian,28
1045,asian,10
1046,asian,16
1047,asian,13
1048,asian,6
1049,asian,14
1050,asian,1
1051,asian,9
1052,asian,20
1053,asian,30
1054,asian,6
1055,asian,20
1056,asian,24
1057,asian,15
1058,asian,26
1059,asian,16
1060,asian,14
1061,asian,23
1062,asian,13
1063,asian,9
1064,asian,5
1065,asian,5
1066,asian,9
1067,asian,25
1068,asian,20
1069,asian,11
1070,asian,8
1071,asian,3
1072,asian,11
1073,asian,3
1074,asian,1
1075,asian,15
1076,asian,14
1077,asian,16
1078,asian,19
1079,asian,23
1080,asian,14
1081,asian,5
1082,asian,24
1083,asian,27
1084,asian,13
1085,asian,3
1086,asian,25
1087,asian,27
1088,asian,30
1089,asian,6
1090,asian,30
1091,asian,25
1092,asian,13
1093,asian,8
1094,asian,25
1095,asian,20
1096,asian,14
1097,asian,30
1098,asian,25
1099,asian,19
1100,asian,1
1101,asian,6
1102,asian,19
1103,asian,16
1104,asian,25
1105,asian,7
1106,asian,25
1107,asian,11
1108,asian,27
1109,asian,1
1110,asian,19
1111,asian,28
1112,asian,13
1113,asian,23
1114,asian,16
1115,asian,10
1116,asian,25
1117,asian,1
1118,asian,26
1119,asian,8
1120,asian,26
1121,asian,24
1122,asian,10
1123,asian,30
1124,asian,28
1125,asian,8
1126,asian,6
1127,asian,3
1128,asian,30
1129,asian,26
1130,asian,26
1131,asian,9
1132,asian,11
1133,asian,19
1134,asian,3
1135,asian,7
1136,asian,26
1137,asian,9
1138,asian,27
1139,asian,20
1140,asian,19
1141,asian,15
1142,asian,10
1143,asian,15
1144,asian,8
1145,asian,1
1146,asian,19
1147,asian,23
1148,asian,20
1149,asian,20
1150,asian,1
1151,asian,1
1152,asian,25
1153,asian,3
1154,asian,1
1155,asian,10
1156,asian,10
1157,asian,20
1158,asian,7
1159,asian,14
1160,asian,1
1161,asian,28
1162,asian,10
1163,asian,28
1164,asian,27
1165,asian,16
1166,asian,9
1167,asian,24
1168,asian,20
1169,asian,9
1170,asian,14
1171,asian,24
1172,asian,19
1173,asian,23
1174,asian,10
1175,asian,5
1176,asian,13
1177,asian,2
1178,asian,17
1179,asian,26
1180,asian,16
1181,asian,20
1182,asian,21
1183,asian,2
1184,asian,29
1185,asian,20
1186,asian,29
1187,asian,21
1188,asian,16
1189,asian,2
1190,asian,26
1191,asian,16
1192,asian,16
1193,asian,29
1194,asian,17
1195,asian,20
1196,asian,17
1197,asian,25
1198,asian,17
1199,asian,20
1200,asian,29
1201,asian,29
1202,asian,2
1203,asian,2
1204,asian,16
1205,asian,16
1206,asian,16
1207,asian,25
1208,asian,26
1209,asian,2
1210,asian,26
1211,asian,26
1212,asian,25
1213,asian,17
1214,asian,20
1215,asian,21
1216,asian,25
1217,asian,26
1218,asian,29
1219,asian,25
1220,asian,29
1221,asian,25
1222,asian,20
1223,asian,25
1224,asian,17
1225,asian,29
1226,asian,17
1227,asian,20
1228,asian,21
1229,asian,21
1230,asian,21
1231,asian,2
1232,asian,29
1233,asian,26
1234,asian,26
1235,asian,21
1236,asian,21
1237,asian,25
1238,asian,17
1239,asian,2
1240,asian,20
1241,asian,21
1242,asian,21
1243,asian,29
1244,asian,2
1245,asian,29
1246,asian,20
1247,asian,16
1248,asian,17
1249,asian,29
1250,asian,25
1251,asian,17
1252,asian,21
1253,asian,25
1254,asian,20
1255,asian,16
1256,asian,26
1257,asian,20
1258,asian,29
1259,asian,20
1260,asian,16
1261,asian,25
1262,asian,21
1263,asian,20
1264,asian,25
1265,asian,13
1266,asian,28
1267,asian,15
1268,asian,3
1269,asian,5
1270,asian,9
1271,asian,11
1272,asian,12
1273,asian,2
1274,asian,8
1275,asian,1
1276,asian,1
1277,asian,23
1278,asian,5
1279,asian,12
1280,asian,19
1281,asian,30
1282,asian,12
1283,asian,11
1284,asian,14
1285,asian,23
1286,asian,9
1287,asian,6
1288,asian,5
1289,asian,15
1290,asian,7
1291,asian,11
1292,asian,5
1293,asian,13
1294,asian,4
1295,asian,23
1296,asian,18
1297,asian,22
1298,asian,18
1299,asian,2
1300,asian,29
1301,asian,14
1302,asian,1
1303,asian,29
1304,asian,23
1305,asian,7
1306,asian,13
1307,asian,11
1308,asian,23
1309,asian,13
1310,asian,30
1311,asian,28
1312,asian,30
1313,asian,21
1314,asian,4
1315,asian,1
1316,asian,6
1317,asian,19
1318,asian,18
1319,asian,29
1320,asian,3
1321,asian,14
1322,asian,4
1323,asian,22
1324,asian,14
1325,asian,22
1326,asian,6
1327,asian,30
1328,asian,3
1329,asian,7
1330,asian,9
1331,asian,29
1332,asian,9
1333,asian,12
1334,asian,4
1335,asian,21
1336,asian,22
1337,asian,29
1338,asian,4
1339,asian,30
1340,asian,15
1341,asian,9
1342,asian,28
1343,asian,28
1344,asian,11
1345,asian,7
1346,asian,21
1347,asian,11
1348,asian,15
1349,asian,28
1350,asian,12
1351,asian,12
1352,asian,2
1353,asian,23
1354,asian,1
1355,asian,12
1356,asian,21
1357,asian,22
1358,asian,11
1359,asian,1
1360,asian,3
1361,asian,18
1362,asian,19
1363,asian,5
1364,asian,8
1365,asian,22
1366,asian,8
1367,asian,2
1368,asian,14
1369,asian,12
1370,asian,19
1371,asian,15
1372,asian,1
1373,asian,21
1374,asian,13
1375,asian,3
1376,asian,29
1377,asian,6
1378,asian,19
1379,asian,15
1380,asian,7
1381,asian,6
1382,asian,30
1383,asian,28
1384,asian,8
1385,asian,5
1386,asian,6
1387,asian,13
1388,asian,30
1389,asian,23
1390,asian,19
1391,asian,4
1392,asian,7
1393,asian,9
1394,asian,30
1395,asian,22
1396,asian,9
1397,asian,1
1398,asian,8
1399,asian,28
1400,asian,2
1401,asian,14
1402,asian,21
1403,asian,19
1404,asian,18
1405,asian,15
1406,asian,22
1407,asian,5
1408,asian,3
1409,asian,18
1410,asian,5
1411,asian,19
1412,asian,4
1413,asian,28
1414,asian,6
1415,asian,8
1416,asian,8
1417,asian,13
1418,asian,2
1419,asian,6
1420,asian,23
1421,asian,7
1422,asian,19
1423,asian,9
1424,asian,3
1425,asian,23
1426,asian,29
1427,asian,7
1428,asian,19
1429,asian,23
1430,asian,14
1431,asian,4
1432,asian,3
1433,asian,9
1434,asian,2
1435,asian,29
1436,asian,21
1437,asian,29
1438,asian,1
1439,asian,18
1440,asian,7
1441,asian,21
1442,asian,29
1443,asian,13
1444,asian,11
1445,asian,5
1446,asian,15
1447,asian,21
1448,asian,2
1449,asian,15
1450,asian,8
1451,asian,30
1452,asian,6
1453,asian,11
1454,asian,8
1455,asian,2
1456,asian,7
1457,asian,30
1458,asian,5
1459,asian,2
1460,asian,18
1461,asian,11
1462,asian,18
1463,asian,2
1464,asian,23
1465,asian,8
1466,asian,29
1467,asian,3
1468,asian,12
1469,asian,28
1470,asian,23
1471,asian,29
1472,asian,22
1473,asian,18
1474,asian,14
1475,asian,2
1476,asian,28
1477,asian,11
1478,asian,30
1479,asian,11
1480,asian,28
1481,asian,28
1482,asian,9
1483,asian,9
1484,asian,30
1485,asian,6
1486,asian,30
1487,asian,14
1488,asian,14
1489,asian,2
1490,asian,29
1491,asian,22
1492,asian,8
1493,asian,21
1494,asian,18
1495,asian,28
1496,asian,12
1497,asian,7
1498,asian,18
1499,asian,4
1500,asian,21
1501,asian,14
1502,asian,1
1503,asian,22
1504,asian,28
1505,asian,10
1506,asian,20
1507,asian,24
1508,asian,27
1509,asian,24
1510,asian,20
1511,asian,22
1512,asian,27
1513,asian,10
1514,asian,26
1515,asian,26
1516,asian,22
1517,asian,10
1518,asian,26
1519,asian,30
1520,asian,30
1521,asian,10
1522,asian,24
1523,asian,26
1524,asian,26
1525,asian,10
1526,asian,22
1527,asian,26
1528,asian,20
1529,asian,24
1530,asian,24
1531,asian,22
1532,asian,27
1533,asian,10
1534,asian,20
1535,asian,20
1536,asian,28
1537,asian,30
1538,asian,10
1539,asian,28
1540,asian,24
1541,asian,30
1542,asian,20
1543,asian,22
1544,asian,28
1545,asian,27
1546,asian,22
1547,asian,20
1548,asian,24
1549,asian,24
1550,asian,20
1551,asian,20
1552,asian,27
1553,asian,28
1554,asian,30
1555,asian,10
1556,asian,30
1557,asian,30
1558,asian,24
1559,asian,27
1560,asian,27
1561,asian,22
1562,asian,27
1563,asian,28
1564,asian,30
1565,asian,26
1566,asian,28
1567,asian,27
1568,asian,26
1569,asian,22
1570,asian,26
1571,asian,28
1572,asian,27
1573,asian,10
1574,asian,28
1575,asian,10
1576,asian,28
1577,asian,20
1578,asian,30
1579,asian,20
1580,asian,24
1581,asian,28
1582,asian,26
1583,asian,28
1584,asian,10
1585,asian,22
1586,asian,30
1587,asian,28
1588,asian,27
1589,asian,28
1590,asian,30
1591,asian,20
1592,asian,20
1593,asian,5
1594,asian,2
1595,asian,9
1596,asian,17
1597,asian,17
1598,asian,8
1599,asian,23
1600,asian,5
1601,asian,19
1602,asian,12
1603,asian,7
1604,asian,11
1605,asian,11
1606,asian,23
1607,asian,8
1608,asian,23
1609,asian,8
1610,asian,19
1611,asian,6
1612,asian,17
1613,asian,16
1614,asian,12
1615,asian,16
1616,asian,16
1617,asian,9
1618,asian,25
1619,asian,3
1620,asian,14
1621,asian,25
1622,asian,1
1623,asian,5
1624,asian,8
1625,asian,1
1626,asian,7
1627,asian,29
1628,asian,9
1629,asian,25
1630,asian,6
1631,asian,5
1632,asian,8
1633,asian,16
1634,asian,25
1635,asian,14
1636,asian,2
1637,asian,3
1638,asian,11
1639,asian,29
1640,asian,6
1641,asian,9
1642,asian,19
1643,asian,9
1644,asian,14
1645,asian,29
1646,asian,19
1647,asian,6
1648,asian,18
1649,asian,11
1650,asian,6
1651,asian,11
1652,asian,18
1653,asian,12
1654,asian,2
1655,asian,25
1656,asian,29
1657,asian,16
1658,asian,25
1659,asian,29
1660,asian,12
1661,asian,18
1662,asian,19
1663,asian,18
1664,asian,29
1665,asian,6
1666,asian,7
1667,asian,12
1668,asian,1
1669,asian,12
1670,asian,18
1671,asian,7
1672,asian,14
1673,asian,14
1674,asian,17
1675,asian,6
1676,asian,12
1677,asian,8
1678,asian,1
1679,asian,9
1680,asian,1
1681,asian,19
1682,asian,19
1683,asian,3
1684,asian,11
1685,asian,18
1686,asian,5
1687,asian,29
1688,asian,23
1689,asian,6
1690,asian,19
1691,asian,16
1692,asian,12
1693,asian,5
1694,asian,7
1695,asian,25
1696,asian,14
1697,asian,6
1698,asian,1
1699,asian,9
1700,asian,14
1701,asian,7
1702,asian,19
1703,asian,23
1704,asian,16
1705,asian,2
1706,asian,3
1707,asian,23
1708,asian,18
1709,asian,17
1710,asian,23
1711,asian,3
1712,asian,1
1713,asian,3
1714,asian,19
1715,asian,14
1716,asian,14
1717,asian,11
1718,asian,7
1719,asian,7
1720,asian,2
1721,asian,19
1722,asian,16
1723,asian,14
1724,asian,12
1725,asian,7
1726,asian,3
1727,asian,3
1728,asian,9
1729,asian,3
1730,asian,18
1731,asian,2
1732,asian,14
1733,asian,8
1734,asian,18
1735,asian,29
1736,asian,1
1737,asian,17
1738,asian,18
1739,asian,11
1740,asian,6
1741,asian,5
1742,asian,14
1743,asian,29
1744,asian,2
1745,asian,29
1746,asian,18
1747,asian,2
1748,asian,8
1749,asian,23
1750,asian,5
1751,asian,8
1752,asian,8
1753,asian,18
1754,asian,1
1755,asian,3
1756,asian,2
1757,asian,3
1758,asian,17
1759,asian,2
1760,asian,3
1761,asian,9
1762,asian,17
1763,asian,19
1764,asian,16
1765,asian,23
1766,asian,12
1767,asian,5
1768,asian,2
1769,asian,12
1770,asian,8
1771,asian,11
1772,asian,7
1773,asian,17
1774,asian,25
1775,asian,17
1776,asian,5
1777,asian,23
1778,asian,7
1779,asian,3
1780,asian,9
1781,asian,1
1782,asian,8
1783,asian,7
1784,asian,25
1785,asian,7
1786,asian,7
1787,asian,20
1788,asian,15
1789,asian,4
1790,asian,1
1791,asian,21
1792,asian,19
1793,asian,5
1794,asian,27
1795,asian,22
1796,asian,25
1797,asian,17
1798,asian,25
1799,asian,12
1800,asian,10
1801,asian,17
1802,asian,25
1803,asian,16
1804,asian,13
1805,asian,5
1806,asian,4
1807,asian,12
1808,asian,17
1809,asian,18
1810,asian,13
1811,asian,21
1812,asian,5
1813,asian,28
1814,asian,20
1815,asian,4
1816,asian,7
1817,asian,19
1818,asian,18
1819,asian,4
1820,asian,12
1821,asian,27
1822,asian,15
1823,asian,25
1824,asian,21
1825,asian,20
1826,asian,10
1827,asian,20
1828,asian,10
1829,asian,5
1830,asian,17
1831,asian,19
1832,asian,16
1833,asian,30
1834,asian,30
1835,asian,15
1836,asian,19
1837,asian,16
1838,asian,19
1839,asian,5
1840,asian,20
1841,asian,28
1842,asian,24
1843,asian,21
1844,asian,10
1845,asian,16
1846,asian,24
1847,asian,27
1848,asian,1
1849,asian,24
1850,asian,10
1851,asian,30
1852,asian,22
1853,asian,17
1854,asian,4
1855,asian,10
1856,asian,13
1857,asian,22
1858,asian,4
1859,asian,12
1860,asian,18
1861,asian,22
1862,asian,1
1863,asian,22
1864,asian,28
1865,asian,25
1866,asian,13
1867,asian,24
1868,asian,27
1869,asian,4
1870,asian,12
1871,asian,27
1872,asian,27
