player_id, played
13, [5;3;4;2;2;1;1;9;10;8;8;7;7;5;5;6;4;4;3;3;1;2;10;10;8;9;7;7;6;6;4;5;3;3;2;2;10;10;9;9;7;6;6;5;5;3;4;2;2;10;1;1;9;10;8;8;7;7;5;6;4;4;2;3;1;1;10;10;8;9;7;7;6;6;4;4;3;3;1;2;10;10;9;9;7;7;8;6;6;5;5;3;4;2;2;1;1;9;9;8]
14, [8;6;7;5;5;4;4;2;3;1;1;9;10;8;8;7;5;6;4;4;3;3;3;1;2;10;10;9;9;7;8;6;6;4;5;3;3;2;2;10;1;9;9;8;8;6;6;5;5;3;4;2;2;1;1;9;10;8;8;8;7;7;5;6;4;4;3;3;1;2;10;10;8;9;7;7;6;6;4;5;3;3;2;2;10;10;9;9;7;8;6;6;5;5;5;3;4;2;2;1]
15, [1;9;10;8;8;7;7;5;5;4;4;2;3;1;1;10;10;8;9;7;7;5;6;4;4;3;3;1;2;10;10;1;9;9;7;8;6;6;5;5;3;4;2;2;1;1;9;9;8;8;6;7;5;5;4;4;2;2;1;1;9;10;8;8;7;7;7;6;6;4;4;3;3;1;2;10;10;9;9;7;8;6;6;4;5;3;3;2;2;10;1;9;9;8;8;6;6;5;5;3]
16, [4;2;2;3;1;1;9;10;8;8;7;7;5;6;4;4;3;3;1;1;10;10;8;9;7;7;6;6;4;5;3;3;1;2;10;10;9;9;9;8;8;6;7;5;5;3;4;2;2;1;1;9;10;8;8;7;7;5;5;4;4;2;3;1;1;10;10;8;8;7;7;5;6;4;4;5;3;3;2;2;10;10;9;9;7;8;6;6;5;5;3;4;2;2;10;1;9;9;8;8]
17, [6;7;5;5;4;4;2;2;1;1;1;10;10;8;9;7;7;5;6;4;4;3;3;1;2;10;10;9;9;7;7;6;6;4;5;3;3;2;2;10;1;9;9;7;8;6;6;7;5;5;4;4;2;3;1;1;9;10;8;8;7;7;5;6;4;4;3;3;1;1;10;10;8;9;7;7;6;6;4;4;3;3;3;2;2;10;1;9;9;8;8;6;6;5;5;3;4;2;2;1]
18, [1;9;10;8;8;6;7;5;5;4;4;2;3;1;1;10;10;8;8;9;7;7;6;6;4;5;3;3;2;2;10;10;9;9;7;8;6;6;5;5;3;3;2;2;10;1;9;9;8;8;6;7;5;5;5;4;4;2;3;1;1;10;10;8;9;7;7;5;6;4;4;3;3;1;2;10;10;9;9;7;7;6;6;4;5;3;3;2;2;10;10;1;9;9;8;8;6;7;5;5]
19, [4;4;2;2;1;1;9;10;8;8;7;7;5;6;4;4;2;3;1;1;10;10;8;9;7;7;8;6;6;4;5;3;3;2;2;10;1;9;9;8;8;6;6;5;5;3;4;2;2;1;1;9;9;8;8;6;7;5;5;4;4;2;3;3;1;1;10;10;8;9;7;7;6;6;4;5;3;3;1;2;10;10;9;9;7;8;6;6;5;5;3;3;2;2;10;1;9;8;8;8]
20, [7;7;5;5;4;4;2;3;1;1;10;10;8;8;7;7;5;6;4;4;3;3;1;2;10;10;8;9;7;7;6;6;4;5;5;3;4;2;2;10;1;9;9;8;8;6;7;5;5;4;4;2;2;1;1;9;10;8;8;7;7;5;5;4;4;2;3;1;1;10;10;10;9;9;7;7;6;6;4;5;3;3;2;2;10;1;9;9;7;8;6;6;5;5;3;4;2;2;1;1]
21, [9;9;8;8;6;7;7;5;6;4;4;3;3;1;1;10;10;8;9;7;7;6;6;4;4;3;3;1;2;10;10;9;9;7;8;6;6;4;5;3;3;2;2;2;1;1;9;10;8;8;6;7;5;5;4;4;2;3;1;1;10;10;8;8;7;7;5;6;4;4;3;3;1;2;10;10;8;9;9;7;8;6;6;5;5;3;3;2;2;10;1;9;9;8;8;6;7;5;5;3]
22, [4;2;2;1;1;9;10;8;8;7;7;5;5;4;4;4;3;3;1;2;10;10;9;9;7;7;6;6;4;5;3;3;2;2;10;10;9;9;7;8;6;6;5;5;3;4;2;2;10;1;1;9;10;8;8;7;7;5;6;4;4;2;3;1;1;10;10;8;9;7;7;6;6;4;4;3;3;1;2;10;10;9;9;7;8;6;6;6;5;5;3;4;2;2;1;1;9;9;8;8]
23, [6;7;5;5;4;4;2;3;1;1;9;10;8;8;7;7;5;6;4;4;3;3;3;1;2;10;10;9;9;7;8;6;6;5;5;3;3;2;2;10;1;9;9;8;8;6;7;5;5;3;4;2;2;1;1;9;10;8;8;8;7;7;5;6;4;4;3;3;1;2;10;10;8;9;7;7;6;6;4;5;3;3;2;2;10;10;9;9;7;8;6;6;5;5;5;4;4;2;2;1]
24, [1;9;10;8;8;7;7;5;5;4;4;2;3;1;1;10;10;8;9;7;7;5;6;4;4;3;3;1;2;10;10;1;9;9;7;8;6;6;5;5;3;4;2;2;1;1;9;9;8;8;6;7;5;5;4;4;2;3;1;1;9;10;8;8;7;7;7;6;6;4;4;3;3;1;2;10;10;9;9;7;8;6;6;4;5;3;3;2;2;10;1;9;9;8;8;6;6;5;5;3]
25, [4;2;2;3;1;1;10;10;8;8;7;7;5;6;4;4;3;3;1;1;10;10;8;9;7;7;6;6;4;5;3;3;1;2;10;10;9;9;7;8;8;6;7;5;5;3;4;2;2;1;1;9;10;8;8;7;7;5;5;4;4;2;3;1;1;10;10;8;9;7;7;5;6;4;4;5;3;3;2;2;10;10;9;9;7;8;6;6;5;5;3;4;2;2;10;1;9;9;8;8]
26, [6;7;5;5;4;4;2;2;1;1;9;10;10;8;9;7;7;6;6;4;4;3;3;1;2;10;10;9;9;7;8;6;6;4;5;3;3;2;2;10;1;9;9;7;8;6;6;7;5;5;4;4;2;3;1;1;9;10;8;8;7;7;5;6;4;4;3;3;1;1;10;10;8;9;7;7;6;6;4;5;3;3;1;2;2;10;1;9;9;8;8;6;6;5;5;3;4;2;2;1]
27, [1;9;10;8;8;6;7;5;4;4;2;3;1;1;10;10;8;8;9;7;7;6;6;4;5;3;3;2;2;10;10;9;9;7;8;6;6;5;5;3;4;2;2;10;1;9;9;8;8;6;7;5;5;3;4;4;2;3;1;1;10;10;8;9;7;7;5;6;4;4;3;3;1;2;10;10;9;9;7;7;6;6;4;5;3;3;2;2;10;1;1;9;9;8;8;6;7;5;5;4]
28, [4;2;3;1;1;9;10;8;8;7;7;5;6;4;4;2;3;1;1;10;10;8;9;7;7;6;6;6;4;5;3;3;2;2;10;1;9;9;8;8;6;6;5;5;3;4;2;2;1;1;9;10;8;8;6;7;5;5;4;4;2;3;3;1;1;10;10;8;9;7;7;6;6;4;5;3;3;1;2;10;10;9;9;7;8;6;6;5;5;3;3;2;2;10;1;9;9;8;8;8]
29, [7;7;5;5;4;4;2;3;1;1;10;10;8;9;7;7;5;6;4;4;3;3;1;2;10;10;8;9;7;7;6;6;4;5;5;3;4;2;2;10;1;9;9;8;8;6;7;5;5;4;4;2;2;1;1;9;10;8;8;7;7;5;6;4;4;2;3;1;1;10;10;10;9;9;7;8;6;6;4;5;3;3;2;2;10;1;9;9;7;8;6;6;5;5;3;4;2;2;1;1]
30, [9;9;8;8;6;7;7;5;6;4;4;3;3;1;1;10;10;8;9;7;7;6;6;4;5;3;3;1;2;10;10;9;9;7;8;6;6;4;5;3;3;2;2;2;1;1;9;10;8;8;6;7;5;5;4;4;2;3;1;1;10;10;8;8;7;7;5;6;4;4;3;3;1;2;10;10;8;9;9;7;8;6;6;5;5;3;4;2;2;10;1;9;9;8;8;6;7;5;5;3]
31, [4;2;2;1;1;9;10;8;8;7;7;5;5;4;4;4;3;3;1;2;10;10;9;9;7;7;6;6;4;5;3;3;2;2;10;1;9;9;7;8;6;6;5;5;3;4;2;2;10;1;9;9;10;8;8;7;7;5;6;4;4;2;3;1;1;10;10;8;9;7;7;6;6;4;4;3;3;1;2;10;10;9;9;7;8;6;6;6;5;5;3;4;2;2;1;1;9;10;8;8]
32, [6;7;5;5;4;4;2;3;1;1;9;10;8;8;7;7;5;6;4;4;3;3;1;1;2;10;10;9;9;7;8;6;6;5;5;3;3;2;2;10;1;9;9;8;8;6;7;5;5;3;4;2;2;1;1;9;10;8;8;9;7;7;5;6;4;4;3;3;1;2;10;10;8;9;7;7;6;6;4;5;3;3;2;2;10;10;9;9;7;8;6;6;5;5;3;4;4;2;2;1]
33, [1;9;10;8;8;7;7;5;6;4;4;2;3;1;1;10;10;8;9;7;7;5;6;4;4;3;3;1;2;10;10;1;9;9;7;8;6;6;5;5;3;4;2;2;1;1;9;9;8;8;6;7;5;5;4;4;2;3;1;1;9;10;8;8;7;7;5;6;6;4;5;3;3;1;2;10;10;9;9;7;8;6;6;4;5;3;3;2;2;10;1;9;9;8;8;6;6;5;5;3]
34, [4;2;2;3;1;1;10;10;8;8;7;7;5;6;4;4;3;3;1;2;10;10;8;9;7;7;6;6;4;5;3;3;2;2;10;10;9;9;7;8;8;6;7;5;5;4;2;2;1;1;9;10;8;8;7;7;5;5;4;4;2;3;1;1;10;10;8;9;7;7;5;6;4;4;5;3;3;2;2;10;1;9;9;7;8;6;6;5;5;3;4;2;2;10;1;9;9;8;8;6]
35, [7;5;5;4;4;2;2;1;1;9;10;10;8;9;7;7;6;6;4;4;3;3;1;2;10;10;9;9;7;8;6;6;4;5;3;3;2;2;10;1;9;9;8;8;6;6;7;5;5;4;4;2;3;1;1;9;10;8;8;7;7;5;6;4;4;3;3;1;1;10;10;8;9;7;7;6;6;4;5;3;3;1;2;2;10;1;9;9;8;8;6;7;5;5;3;4;2;2;1;1]
36, [9;10;8;8;7;7;5;5;4;4;2;3;1;1;10;10;8;8;9;7;7;6;6;4;5;3;3;2;2;10;10;9;9;7;8;6;6;5;5;3;4;2;2;10;1;9;9;8;8;6;7;5;5;4;4;4;2;3;1;1;10;10;8;9;7;7;5;6;4;4;3;3;1;2;10;10;9;9;7;7;6;6;4;5;3;3;2;2;10;1;9;9;9;8;8;6;7;5;5;4]
37, [4;2;3;1;1;9;10;8;8;7;7;5;6;4;4;3;3;1;1;10;10;8;9;7;7;6;6;6;4;5;3;3;2;2;10;1;9;9;8;8;6;6;5;5;3;4;2;2;1;1;9;10;8;8;6;7;5;5;4;4;2;3;1;1;2;10;10;8;9;7;7;6;6;4;5;3;3;2;2;10;10;9;9;7;8;6;6;5;5;3;3;2;2;10;1;9;9;8;8;8]
38, [7;7;5;5;4;4;2;3;1;1;10;10;8;9;7;7;5;6;4;4;3;3;1;2;10;10;9;9;7;7;6;6;4;5;3;3;4;2;2;10;1;9;9;8;8;6;7;5;5;4;4;2;2;1;1;9;10;8;8;7;7;5;6;4;4;2;3;1;1;10;10;10;9;9;7;8;6;6;4;5;3;3;2;2;10;1;9;9;8;8;6;6;5;5;3;4;2;2;1;1]
39, [9;9;8;8;6;7;5;5;6;4;4;3;3;1;1;10;10;8;9;7;7;6;6;4;5;3;3;1;2;10;10;9;1;10;9;7;6;5;5;3;1;9;8;7;1;10;7;6;2;3;4;2;2;10;1;9;8;6;5;5;4;4;2;2;1;9;8;8;7;7;7;6;6;4;1;2;10;10;9;9;6;4;3;2;2;10;1;9;9;7;6;5;3;4;2;2;1;9;3;1]
40, [1;8;7;5;2;3;1;10;8;7;6;4;5;2;10;5;9;6;7;5;2;1;1;9;3;7;2;9;4;5;2;5;1;9;7;5;4;2;3;1;1;10;9;2;2;10;1;9;8;7;5;5;4;4;2;1;1;9;10;8;8;7;7;5;3;3;2;7;8;2;8;7;3;4;1;10;9;9;7;8;6;6;4;5;3;3;2;2;10;1;9;9;10;8;8;6;7;5;5;4]
41, [4;2;3;1;1;10;10;8;8;7;7;5;6;4;4;3;3;1;2;10;10;8;9;7;7;6;6;4;5;5;3;3;2;2;10;1;9;9;8;8;6;7;5;5;3;4;2;2;1;9;10;8;8;7;7;5;5;4;4;2;3;1;1;2;10;10;9;9;7;7;6;4;5;3;3;2;2;10;1;9;9;7;8;6;6;5;5;3;4;2;2;10;1;9;9;8;8;6;7;7]
42, [5;6;4;4;2;3;1;1;10;10;8;9;7;7;6;6;4;4;3;3;1;2;10;10;9;9;7;8;6;6;4;5;3;3;4;2;2;1;1;9;8;8;6;7;5;5;4;4;2;3;1;1;9;10;8;8;7;7;5;6;4;4;3;3;1;10;10;8;9;9;7;8;6;6;5;5;3;3;2;2;10;1;9;8;8;6;7;5;5;3;4;2;2;1;1;9;10;8;8;6]
43, [7;5;5;4;4;4;3;3;1;2;10;10;8;9;7;7;6;6;5;3;3;2;2;10;10;9;9;7;8;6;6;5;5;3;4;2;2;10;1;1;9;10;8;8;7;7;5;6;4;4;2;3;1;1;10;10;8;9;7;7;5;6;4;4;3;3;1;2;10;10;9;9;7;7;6;6;6;5;5;3;4;2;2;1;1;9;9;8;8;6;7;5;5;4;4;2;3;1;1;9]
44, [10;8;8;7;7;5;6;4;4;2;3;3;1;2;10;10;9;9;7;8;6;6;4;5;3;3;2;2;10;1;9;9;8;8;6;6;5;5;3;4;2;2;1;1;9;10;8;8;8;7;7;5;6;4;4;3;3;1;2;10;10;8;9;7;7;6;6;4;5;3;3;1;2;10;10;9;9;7;8;6;6;5;5;5;3;4;2;2;1;1;9;10;8;8;4;1;10;10;8;9]
45, [7;7;5;6;4;4;3;3;1;2;10;10;1;9;9;7;8;6;6;5;5;3;4;2;2;10;1;9;9;8;8;6;7;5;5;4;2;2;1;1;9;10;8;8;7;7;7;6;6;4;4;3;3;1;2;10;10;9;9;7;8;6;6;4;5;3;3;2;2;10;1;9;9;7;8;6;6;5;5;3;4;2;2;3;1;1;9;10;8;8;7;7;5;6;4;4;3;3;1;1]
46, [10;10;8;9;7;7;6;6;4;5;3;3;1;2;10;10;9;9;9;8;8;6;7;5;5;3;4;2;2;1;1;9;10;8;8;6;7;5;5;4;4;2;3;1;1;10;10;8;8;7;7;5;6;4;5;3;3;2;2;10;10;9;9;7;8;6;6;5;5;3;4;2;2;10;1;9;9;8;8;6;7;5;5;4;4;2;2;1;1;1;10;10;8;9;7;7;5;6;4;4]
47, [3;3;1;2;10;10;9;9;7;7;6;6;4;5;3;3;2;2;10;1;9;9;7;8;6;6;7;5;5;4;4;2;3;1;1;9;10;8;8;7;7;5;6;4;4;2;3;1;1;10;10;8;9;7;7;6;6;4;4;3;3;3;2;2;10;1;9;9;8;8;6;5;5;3;4;2;2;1;9;10;8;8;6;7;5;5;4;4;2;3;1;1;10;10;8;8;9;7;7;6]
48, [6;4;5;3;3;1;2;10;10;9;9;7;8;6;6;5;5;3;3;2;2;10;1;9;9;8;8;6;7;5;5;3;4;4;2;3;1;1;10;10;8;9;7;7;5;6;4;4;3;3;1;2;10;10;8;9;7;7;6;6;4;5;3;3;2;2;10;1;9;9;8;8;6;7;5;5;4;4;2;2;1;1;9;10;8;8;7;7;5;6;4;4;2;3;1;1;10;10;8;9]
49, [7;7;6;6;6;4;5;3;3;2;2;10;1;9;9;7;8;6;6;5;5;3;4;2;2;1;1;9;9;8;8;6;7;5;5;4;4;2;3;3;1;1;10;10;8;9;7;7;6;6;4;5;3;3;1;2;10;10;9;9;7;8;6;6;5;5;3;3;2;2;10;1;9;9;8;8;8;6;7;5;5;4;3;1;8;7;5;4;3;2;10;9;7;4;5;4;10;1;8;6]
50, [5;3;2;1;10;8;7;5;4;3;1;10;10;9;6;6;3;2;10;9;7;6;5;3;2;1;9;8;6;6;4;3;10;8;7;6;4;3;1;10;9;7;6;4;3;2;2;9;8;6;5;5;4;3;1;8;8;5;4;3;10;8;9;8;6;5;3;2;9;8;6;5;4;2;1;10;7;5;4;3;1;10;9;7;6;5;3;2;10;9;6;5;3;2;10;1;10;8;5;4]
51, [3;10;8;7;6;4;3;3;10;9;7;6;6;5;4;2;1;9;8;7;5;4;3;9;8;7;5;4;3;3;2;10;9;8;6;5;3;2;1;8;6;5;4;2;1;10;8;7;5;4;3;1;10;8;7;6;4;3;2;10;9;8;5;5;4;2;1;9;8;7;5;4;3;1;10;9;7;6;4;3;2;10;9;8;6;5;2;1;9;8;6;5;4;2;1;9;8;7;5;6]
52, [4;3;2;10;9;8;6;5;3;2;1;9;8;6;5;4;3;1;10;8;7;6;4;3;1;10;9;7;6;5;3;2;10;9;8;7;5;4;2;1;10;7;5;4;2;1;10;8;7;5;4;5;3;2;10;9;8;5;3;2;10;1;9;7;5;4;2;1;10;8;7;6;4;3;2;10;9;7;6;5;3;10;9;7;6;7;5;4;3;1;8;7;5;4;3;1;10;9;7;6]
53, [4;3;2;10;9;8;6;5;4;2;1;10;8;7;5;4;3;1;10;8;7;6;4;3;2;10;9;7;6;5;3;2;10;9;8;7;5;4;2;1;10;8;7;5;4;3;1;10;9;7;6;5;3;2;1;9;8;8;7;4;2;1;9;8;7;5;4;2;1;10;8;7;6;4;3;2;10;9;8;6;5;3;2;1;9;8;7;5;4;3;1;10;9;7;6;5;3;2;10;8]
54, [5;2;1;9;8;1;6;7;4;3;2;10;1;9;8;7;5;4;1;1;10;8;7;6;2;1;10;10;9;7;6;3;3;2;1;9;8;5;3;2;1;9;8;6;5;6;3;1;10;8;7;6;6;4;1;10;9;7;6;4;3;2;1;9;8;6;5;4;2;1;10;8;7;5;4;3;1;10;8;7;8;6;5;3;2;9;8;6;5;3;2;1;9;8;7;5;4;4;3;2]
55, [10;9;7;4;3;2;10;9;7;6;5;3;2;10;9;10;8;7;6;4;3;1;8;7;6;4;3;1;10;9;7;6;6;5;4;2;1;9;8;7;4;2;1;9;8;7;5;4;3;1;2;10;9;8;5;3;2;10;9;8;6;5;3;2;1;10;8;7;5;4;3;1;10;8;7;6;4;3;2;10;9;8;6;5;4;2;1;9;8;7;5;4;2;1;10;9;7;6;4;3]
56, [2;10;9;8;6;5;4;2;1;9;8;7;5;4;3;1;10;8;7;6;4;3;1;10;9;7;6;4;3;2;1;9;8;6;5;4;2;1;10;8;7;5;4;3;1;10;9;7;6;5;3;2;10;9;8;6;5;3;2;1;9;8;7;5;4;3;1;10;9;7;6;4;3;2;10;9;7;6;5;4;2;1;9;8;7;5;4;2;1;10;8;7;6;4;3;1;10;9;7;6]
57, [5;3;2;1;9;8;6;5;5;4;1;9;8;7;5;4;3;1;10;8;7;6;5;3;2;10;9;8;6;5;3;2;1;9;8;6;5;4;3;1;10;8;7;6;4;3;2;10;9;7;6;5;4;2;1;9;8;7;5;4;2;1;10;8;7;5;4;3;2;10;9;7;6;5;3;2;1;9;8;6;5;4;2;1;9;8;7;6;4;3;1;10;9;7;6;4;3;2;10;9]
58, [8;6;5;3;2;1;9;8;7;5;4;3;1;10;8;7;6;4;3;1;10;9;7;6;5;3;2;10;9;8;8;7;5;4;3;1;8;7;5;4;3;1;10;8;7;6;4;3;4;2;9;8;6;5;4;2;1;9;8;7;5;4;3;1;10;9;7;6;4;3;2;10;9;7;6;5;3;2;1;9;8;7;5;4;3;1;10;8;7;6;4;3;1;10;9;8;6;5;3;2]
59, [1;9;8;6;5;4;2;1;10;8;7;6;4;3;2;10;9;7;6;5;4;2;1;9;8;7;5;4;2;1;10;8;7;5;4;3;1;10;9;7;6;5;3;2;1;9;8;6;5;4;2;1;9;8;7;6;4;3;1;10;9;7;6;4;3;2;10;9;8;6;5;4;2;1;10;8;7;5;4;3;1;10;8;5;4;3;1;2;10;9;8;5;3;2;10;9;8;6;5;3]
60, [2;1;10;8;7;5;4;3;1;10;8;7;6;5;3;2;10;9;7;6;5;4;2;1;9;8;7;5;4;2;1;10;8;7;6;4;1;10;9;8;3;2;1;9;8;6;5;4;2;1;9;8;7;5;4;3;1;10;9;8;6;5;2;10;9;8;6;5;4;2;1;10;8;7;5;4;3;1;10;8;7;6;4;3;2;10;9;8;6;5;5;2;1;9;8;7;5;4;2;1]
61, [10;8;7;6;4;3;2;10;9;7;6;5;3;2;1;9;8;6;5;4;2;9;10;9;7;6;4;3;2;10;9;8;6;5;3;2;1;9;5;4;1;9;8;7;5;4;3;1;10;8;7;6;4;3;2;2;1;8;8;5;3;2;1;9;8;7;5;4;2;1;10;8;7;6;4;3;2;10;9;7;6;5;4;2;1;9;8;7;5;4;2;1;10;8;7;6;4;3;1;10]
62, [9;7;6;5;3;2;1;9;8;6;5;4;2;1;10;8;5;4;3;1;10;8;7;6;6;5;3;2;1;9;8;6;3;2;1;9;8;6;5;4;3;1;10;8;7;6;4;3;2;10;9;8;6;5;3;2;1;9;8;7;5;4;3;1;10;8;7;6;4;1;10;9;7;6;3;4;1;8;6;5;4;2;1;9;8;7;5;4;2;1;10;8;7;6;4;3;2;10;9;8]
63, [6;5;4;2;1;9;8;7;5;4;3;1;10;8;7;6;4;3;2;10;9;8;6;5;3;2;10;9;8;7;5;4;2;1;10;8;7;6;4;3;2;10;8;7;6;5;3;2;10;9;8;6;5;4;2;1;9;8;7;5;4;2;3;10;9;7;6;4;3;2;10;9;7;6;5;3;2;1;9;8;7;5;4;3;1;10;8;7;6;4;3;2;10;9;8;6;5;3;2;1]
64, [9;8;7;5;4;3;1;10;8;7;6;4;3;2;10;9;8;6;5;3;2;1;9;8;7;5;4;2;1;10;8;7;5;4;3;1;10;9;7;6;4;3;2;10;9;7;6;5;3;2;1;9;8;7;5;4;2;1;10;8;7;6;4;3;1;10;9;8;6;5;3;2;1;9;8;6;5;4;2;1;9;8;7;5;4;3;1;10;9;7;6;5;3;2;10;9;8;7;5;4]
65, [2;1;10;8;7;5;4;3;2;10;9;6;6;3;2;10;9;7;6;7;5;4;2;1;10;8;7;5;4;3;1;10;7;6;4;3;2;10;9;8;6;5;4;2;1;9;8;7;5;4;3;1;10;9;7;6;4;3;2;10;9;8;6;5;3;2;1;9;8;5;4;1;8;7;5;4;3;1;10;8;7;6;4;3;2;10;9;8;6;5;3;2;1;9;8;7;5;2;1;10]
66, [8;7;7;6;5;3;2;10;9;8;5;3;2;10;9;8;6;5;4;2;1;10;10;7;6;4;3;2;7;5;2;10;9;9;8;7;5;4;3;9;8;7;6;4;3;1;10;7;6;4;5;2;9;8;6;5;3;2;1;9;8;7;5;4;3;1;10;8;7;6;4;3;2;10;9;6;5;3;2;10;9;8;6;7;4;2;1;10;8;7;5;4;3;1;10;9;7;6;5;3]
67, [2;1;9;8;6;7;5;4;1;9;8;7;5;4;2;1;10;8;9;8;6;5;3;2;10;9;8;6;5;4;2;1;10;8;7;5;4;3;1;10;8;7;6;4;3;1;10;9;7;6;5;3;2;1;9;10;7;7;5;2;1;10;8;7;5;4;3;2;10;10;9;8;6;5;4;2;1;9;8;7;7;4;4;3;2;10;9;8;6;5;3;2;1;9;8;6;5;4;2;9]
68, [8;8;7;5;4;3;1;10;8;7;6;5;3;10;9;7;8;6;5;4;2;1;10;8;7;5;4;3;1;10;8;7;6;4;3;2;10;9;7;6;5;4;2;1;9;8;7;5;4;2;1;10;8;7;5;4;3;2;10;9;7;6;5;3;2;1;9;8;6;5;2;3;1;10;8;7;6;4;3;1;10;9;7;6;3;1;10;9;9;8;6;5;4;2;1;10;8;7;5;4]
